SeqID,ProcessCode,Type,StationID,Desc,SortOrder
9,A30A0080A-T,Rota aşaması,R1,RAF 1,9
10,A30A0080A-SS,Rota aşaması,R2,RAF 2,10
11,A30A0080A-G1,Rota aşaması,G1,ALT KAYNAK VE SACLAMA,11
12,A30A0080A-G2,Rota aşaması,G2,DOGRULTMA VE TAMAMLAMA,12
25,A30A0080A-SS,Rota aşaması,R3,RAF3,25
26,A30A0080A-ÖG,Rota aşaması,R4,RAF 4,26
27,A30A0080A-ÖG,Rota aşaması,R5,RAF 5,27
28,A30A0080A-SD,Rota aşaması,R6,RAF 6,28
29,A30A0080A-SD,Rota aşaması,R7,RAF 7,29
30,A30A0080A-SD,Rota aşaması,R8,RAF 8,30
31,A30A0080A-OT,Rota aşaması,K8,KANBAN GÖVDE İMALATI,81
31,A30A0080A-OT,Rota aşaması,R9,RAF 9,31
32,A30A0080A-SB,Rota aşaması,R10,RAF 10,32
33,A30A0080A-SD,Rota aşaması,R11,RAF 11,33
34,A30A0080A-SD,Rota aşaması,R12,RAF 12,34
81,A30A0080A-OT,Rota aşaması,K8,KANBAN KAYNAK,81
