WorkerID,Kaynak yetkinliði,Spiral taþ motoru kullaným,Tavan vinci kullanýmý,Teknik resim okuma,iþçi numarasý
101,2.9,3.8,4.3,3.6,1.0
102,4.0,3.9,4.2,4.2,1.9
103,3.9,4.1,3.8,4.4,2.9
104,4.0,4.0,4.0,4.2,3.6
105,3.2,4.0,4.0,4.2,5.0
106,3.2,3.9,4.2,3.8,5.0
107,3.2,3.7,4.0,3.9,5.0
108,3.1,4.2,3.8,3.6,5.0
109,2.9,4.4,4.3,3.9,5.0
110,1.8,3.7,2.0,2.9,5.0
111,2.0,3.8,2.1,2.2,5.0
112,3.6,4.2,3.7,3.7,5.0
113,1.9,4.1,1.9,1.9,5.0
114,3.0,4.1,3.6,4.1,5.0
115,1.9,4.2,2.1,2.0,5.0
116,2.1,4.0,1.9,2.1,5.0
117,2.1,2.0,2.0,2.0,5.0
118,2.1,2.1,2.1,2.2,5.0
119,2.1,1.8,1.9,2.0,5.0
120,1.9,1.8,1.9,1.9,5.0
121,2.0,2.1,2.2,2.2,5.0
122,4.2,3.6,4.0,3.8,5.0
123,4.3,3.9,4.3,3.7,5.0
124,3.9,4.0,3.9,4.2,5.0
125,4.0,3.8,4.3,3.7,5.0
126,4.2,4.3,3.7,4.4,5.0
127,4.1,3.9,3.8,4.1,5.0
128,3.8,4.2,4.4,4.2,5.0
129,4.0,4.1,4.3,3.7,5.0
130,3.8,4.0,3.6,4.2,5.0
131,4.3,3.9,4.4,3.8,5.0
132,2.7,4.3,1.8,4.4,5.0
133,3.9,4.0,3.9,3.8,5.0
134,3.3,3.7,1.8,4.3,5.0
135,4.2,4.1,3.8,3.8,5.0
136,3.8,4.2,4.2,3.9,5.0
137,2.7,4.0,3.8,4.3,5.0
138,2.8,3.8,2.1,4.1,5.0
139,2.7,4.1,3.7,4.2,5.0
140,4.1,4.0,4.4,3.7,5.0
141,1.9,1.9,2.0,2.0,5.0
142,1.9,1.8,1.9,1.8,5.0
143,3.3,4.2,1.8,4.2,5.0
144,2.9,4.0,2.1,3.8,5.0
145,4.2,3.9,4.1,4.3,5.0
146,4.3,4.0,4.2,3.7,5.0
201,2.9,3.9,4.2,4.4,1.0
202,3.6,3.9,3.7,4.2,1.9
203,3.8,3.7,4.1,4.3,3.0
204,4.0,3.6,3.7,4.0,3.8
205,3.0,3.6,4.0,3.8,4.8
206,2.7,4.0,4.3,4.1,5.0
207,2.8,3.7,3.8,4.4,5.0
208,3.1,3.6,3.8,4.0,5.0
209,3.2,4.3,3.7,4.2,5.0
210,1.9,3.7,2.0,3.1,5.0
211,2.1,4.3,1.8,1.8,5.0
212,4.4,3.8,4.4,4.0,5.0
213,2.0,4.2,2.1,2.0,5.0
214,3.2,3.9,3.8,4.0,5.0
215,2.0,3.6,1.8,1.8,5.0
216,2.2,4.2,1.9,1.8,5.0
217,2.2,2.0,2.1,1.8,5.0
218,2.1,2.0,2.1,2.1,5.0
219,1.9,1.9,1.9,1.8,5.0
220,1.9,1.9,2.2,2.1,5.0
221,2.1,2.1,2.1,1.9,5.0
222,3.6,3.7,3.7,4.1,5.0
223,4.0,3.7,4.3,3.9,5.0
224,4.2,3.7,3.7,4.2,5.0
225,3.9,3.6,4.0,4.1,5.0
226,4.2,3.8,3.8,3.8,5.0
227,3.6,4.1,4.4,3.8,5.0
228,4.3,3.8,3.7,3.6,5.0
229,4.2,4.1,3.7,4.1,5.0
230,4.3,4.1,4.2,3.9,5.0
231,3.9,4.3,3.8,4.3,5.0
232,3.3,4.1,2.0,3.9,5.0
233,4.1,4.3,3.9,4.0,5.0
234,3.1,4.3,1.9,3.7,5.0
235,3.7,4.1,4.3,4.3,5.0
236,3.7,3.9,4.2,3.7,5.0
237,3.0,3.9,4.2,4.1,5.0
238,3.0,4.2,2.2,4.1,5.0
239,3.3,3.7,3.7,3.6,5.0
240,3.8,3.7,3.9,4.3,5.0
241,2.1,2.0,2.0,2.1,5.0
242,2.0,1.8,2.1,2.0,5.0
243,3.0,3.8,2.2,4.2,5.0
244,3.2,4.1,2.1,4.0,5.0
245,3.6,3.9,4.1,4.2,5.0
